Reference, Value, Footprint, Datasheet
"D168","APA102","gsg-modules:APA102-2020",""
"D192","APA102","gsg-modules:APA102-2020",""
"D216","APA102","gsg-modules:APA102-2020",""
"D240","APA102","gsg-modules:APA102-2020",""
"D264","APA102","gsg-modules:APA102-2020",""
"D288","APA102","gsg-modules:APA102-2020",""
"D312","APA102","gsg-modules:APA102-2020",""
"D336","APA102","gsg-modules:APA102-2020",""
"D360","APA102","gsg-modules:APA102-2020",""
"D384","APA102","gsg-modules:APA102-2020",""
"D408","APA102","gsg-modules:APA102-2020",""
"D432","APA102","gsg-modules:APA102-2020",""
"D456","APA102","gsg-modules:APA102-2020",""
"D480","APA102","gsg-modules:APA102-2020",""
"D504","APA102","gsg-modules:APA102-2020",""
"D528","APA102","gsg-modules:APA102-2020",""
"D552","APA102","gsg-modules:APA102-2020",""
"D576","APA102","gsg-modules:APA102-2020",""
"C1","1uF","Capacitors_SMD:C_0603",""
"C4","1uF","Capacitors_SMD:C_0603",""
"C9","1uF","Capacitors_SMD:C_0603",""
"C12","1uF","Capacitors_SMD:C_0603",""
"C13","1uF","Capacitors_SMD:C_0603",""
"C14","1uF","Capacitors_SMD:C_0603",""
"C20","1uF","Capacitors_SMD:C_0603",""
"C22","1uF","Capacitors_SMD:C_0603",""
"LCKI1","LED-CKI","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"LSDI1","LED-SDI","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"LGND1","LED-GND","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"LVCC1","LED-VCC","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"LEN1","LED-EN","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"Q1","IRLB8721PBF","TO_SOT_Packages_SMD:SOT-223-3_TabPin2",""
"R21","10k","Resistors_SMD:R_0603",""
"JLPWR1","LED-PWR","Connect:GS2",""
"JLEN1","LED-EN","Connect:GS2",""
"R22","470R","Resistors_SMD:R_0603",""
"PWR_DISPLAY1","LED","LEDs:LED_0603",""
"BATT-B-FUSE1","Polyfuse","Fuse:Fuse_1812_4532Metric",""
"BATT-A-FUSE1","Polyfuse","Fuse:Fuse_1812_4532Metric",""
"BATT-B1","18650","Battery_Holders:Keystone_1042_1x18650",""
"BATT-A1","18650","Battery_Holders:Keystone_1042_1x18650",""
"PWR_BATT1","LED","LEDs:LED_0603",""
"R16","470R","Resistors_SMD:R_0603",""
"IR_TX_F1","IR204A","custom-footprints:OSRAM-Midled",""
"IR_RX_L2","IR204A","custom-footprints:OSRAM-Midled",""
"IR_RX_R2","IR204A","custom-footprints:OSRAM-Midled",""
"R1","100R","Resistors_SMD:R_0603",""
"R3","100R","Resistors_SMD:R_0603",""
"R2","100R","Resistors_SMD:R_0603",""
"R23","100","Resistors_SMD:R_0603",""
"R24","100","Resistors_SMD:R_0603",""
"R25","100","Resistors_SMD:R_0603",""
"IR-F1","TSOP77","tsop77:SOIC-4",""
"IR-L1","TSOP77","tsop77:SOIC-4",""
"IR-R1","TSOP77","tsop77:SOIC-4",""
"C6","0.1uF","Capacitors_SMD:C_0603",""
"C5","0.1uF","Capacitors_SMD:C_0603",""
"C3","0.1uF","Capacitors_SMD:C_0603",""
"IR_RX_L1","IR204A","custom-footprints:OSRAM-Midled",""
"IR_TX_F2","IR204A","custom-footprints:OSRAM-Midled",""
"IR_RX_R1","IR204A","custom-footprints:OSRAM-Midled",""
